# time x_sun y_sun x_mercury y_mercury x_venus y_venus x_earth y_earth x_mars y_mars x_jupiter y_jupiter x_neptune y_neptune x_uranus y_uranus x_neptune y_neptune energy_error
0.25001 5.47307e-05 8.27381e-06 0.289685 0.113071 -0.608747 0.397731 -0.0340163 0.999701 0.795758 1.19638 4.90307 0.720116 29.797 0.289055 18.2853 0.375825 29.797 0.289055 -1.0901e-09
0.26001 5.89608e-05 9.11344e-06 0.234674 0.220917 -0.645966 0.334447 -0.0967087 0.99666 0.752681 1.22864 4.89898 0.748713 29.7969 0.300616 18.285 0.390856 29.7969 0.300616 -1.04829e-09
0.27001 6.33312e-05 1.00012e-05 0.152139 0.303266 -0.676565 0.267737 -0.159021 0.989701 0.708611 1.25928 4.89473 0.777285 29.7968 0.312177 18.2847 0.405886 29.7968 0.312177 -9.02994e-10
0.28001 6.78382e-05 1.09369e-05 0.0540905 0.355378 -0.700238 0.198286 -0.220709 0.978865 0.663614 1.28827 4.89033 0.805832 29.7966 0.323738 18.2844 0.420916 29.7966 0.323738 -7.24119e-10
0.29001 7.24785e-05 1.19196e-05 -0.0487799 0.377505 -0.716745 0.126806 -0.281536 0.964204 0.617756 1.31559 4.88577 0.834353 29.7965 0.3353 18.2841 0.435945 29.7965 0.3353 -5.55083e-10
0.30001 7.72495e-05 1.29476e-05 -0.148364 0.372694 -0.725923 0.0540295 -0.341265 0.94579 0.571104 1.34122 4.88104 0.862847 29.7964 0.346861 18.2837 0.450974 29.7964 0.346861 -4.11818e-10
0.31001 8.21492e-05 1.4019e-05 -0.239028 0.345103 -0.727679 -0.019299 -0.39967 0.923703 0.523724 1.36514 4.87616 0.891313 29.7962 0.358422 18.2833 0.466003 29.7962 0.358422 -2.95351e-10
0.32001 8.71761e-05 1.51318e-05 -0.317045 0.299081 -0.721994 -0.0924301 -0.456527 0.89804 0.475683 1.38734 4.87113 0.91975 29.7961 0.369983 18.283 0.481032 29.7961 0.369983 -2.01307e-10
0.33001 9.23291e-05 1.62842e-05 -0.380019 0.238778 -0.708926 -0.164616 -0.511621 0.868912 0.427047 1.40779 4.86593 0.948157 29.796 0.381544 18.2826 0.49606 29.796 0.381544 -1.24313e-10
0.34001 9.76073e-05 1.74742e-05 -0.426451 0.168028 -0.688606 -0.235118 -0.564746 0.836439 0.377882 1.42651 4.86058 0.976534 29.7958 0.393105 18.2822 0.511088 29.7958 0.393105 -5.95758e-11
0.35001 0.00010301 1.86998e-05 -0.455439 0.0903759 -0.661238 -0.303213 -0.615703 0.800755 0.328253 1.44347 4.85507 1.00488 29.7957 0.404666 18.2818 0.526116 29.7957 0.404666 -3.1941e-12
0.36001 0.000108538 1.99593e-05 -0.466498 0.00915323 -0.627095 -0.368202 -0.664301 0.762005 0.278224 1.45868 4.8494 1.03319 29.7955 0.416227 18.2814 0.541143 29.7955 0.416227 4.78694e-11
0.37001 0.000114191 2.12508e-05 -0.459458 -0.0724252 -0.586521 -0.429415 -0.710362 0.720345 0.227861 1.47212 4.84357 1.06147 29.7953 0.427787 18.2809 0.55617 29.7953 0.427787 9.59432e-11
0.38001 0.000119968 2.25728e-05 -0.434425 -0.151156 -0.539926 -0.48622 -0.753716 0.67594 0.177225 1.48381 4.83759 1.08971 29.7952 0.439348 18.2805 0.571197 29.7952 0.439348 1.42667e-10
0.39001 0.000125871 2.39235e-05 -0.39181 -0.223742 -0.48778 -0.538028 -0.794203 0.628964 0.12638 1.49375 4.83145 1.11792 29.795 0.450909 18.28 0.586223 29.795 0.450909 1.8882e-10
0.40001 0.0001319 2.53013e-05 -0.332408 -0.286695 -0.430611 -0.584296 -0.831675 0.579602 0.0753871 1.50193 4.82516 1.1461 29.7948 0.462469 18.2796 0.601249 29.7948 0.462469 2.33862e-10
0.41001 0.000138057 2.67047e-05 -0.257564 -0.33625 -0.369001 -0.624538 -0.865997 0.528045 0.0243068 1.50837 4.81871 1.17423 29.7946 0.47403 18.2791 0.616274 29.7946 0.47403 2.74888e-10
0.42001 0.000144342 2.81323e-05 -0.16944 -0.368323 -0.303577 -0.658329 -0.897044 0.474491 -0.0268011 1.51307 4.8121 1.20233 29.7945 0.48559 18.2786 0.631299 29.7945 0.48559 3.04618e-10
0.43001 0.000150757 2.95827e-05 -0.0714238 -0.37859 -0.235011 -0.685307 -0.924704 0.419146 -0.0778783 1.51605 4.80534 1.23039 29.7943 0.49715 18.2781 0.646324 29.7943 0.49715 3.08097e-10
0.44001 0.000157304 3.10547e-05 0.0313321 -0.362793 -0.164006 -0.705178 -0.948878 0.36222 -0.128867 1.51732 4.79842 1.25841 29.7941 0.508711 18.2776 0.661348 29.7941 0.508711 2.58408e-10
0.45001 0.000163986 3.25473e-05 0.131308 -0.317521 -0.0912955 -0.71772 -0.969478 0.303932 -0.179712 1.5169 4.79135 1.28639 29.7939 0.520271 18.2771 0.676372 29.7939 0.520271 1.15037e-10
0.46001 0.000170806 3.40603e-05 0.218344 -0.241715 -0.0176327 -0.722789 -0.98643 0.244499 -0.230358 1.51479 4.78412 1.31432 29.7937 0.531831 18.2765 0.691396 29.7937 0.531831 -1.63685e-10
0.47001 0.000177767 3.55942e-05 0.28051 -0.13882 0.0562156 -0.720315 -0.999674 0.184149 -0.28075 1.51103 4.77673 1.34222 29.7935 0.543391 18.276 0.706419 29.7935 0.543391 -5.78981e-10
0.48001 0.000184872 3.71509e-05 0.307005 -0.0185112 0.129478 -0.710309 -1.00916 0.123106 -0.330837 1.50561 4.7692 1.37007 29.7932 0.554951 18.2754 0.721441 29.7932 0.554951 -1.04005e-09
0.49001 0.000192124 3.87331e-05 0.292538 0.10424 0.201385 -0.692858 -1.01486 0.0616018 -0.380567 1.49858 4.7615 1.39788 29.793 0.566511 18.2748 0.736463 29.793 0.566511 -1.38912e-09
0.50001 0.000199524 4.03441e-05 0.240055 0.213632 0.271179 -0.668131 -1.01675 -0.00013355 -0.42989 1.48995 4.75366 1.42564 29.7928 0.578071 18.2742 0.751485 29.7928 0.578071 -1.52579e-09
0.51001 0.000207072 4.19865e-05 0.159174 0.298138 0.338122 -0.636373 -1.01483 -0.0618683 -0.478759 1.47974 4.74566 1.45335 29.7926 0.58963 18.2737 0.766506 29.7926 0.58963 -1.47449e-09
0.52001 0.000214766 4.36621e-05 0.0618946 0.352562 0.401502 -0.597905 -1.00909 -0.123371 -0.527124 1.46797 4.73751 1.48102 29.7924 0.60119 18.273 0.781526 29.7924 0.60119 -1.32189e-09
0.53001 0.000222608 4.5372e-05 -0.0409257 0.37686 0.460644 -0.553122 -0.999567 -0.18441 -0.574941 1.45468 4.7292 1.50864 29.7921 0.612749 18.2724 0.796546 29.7921 0.612749 -1.14066e-09
0.54001 0.000230596 4.71171e-05 -0.140977 0.373936 0.514914 -0.502487 -0.986288 -0.244756 -0.622164 1.43989 4.72075 1.53622 29.7919 0.624309 18.2718 0.811566 29.7919 0.624309 -9.68425e-10
0.55001 0.000238732 4.88981e-05 -0.232458 0.347904 0.56373 -0.446526 -0.9693 -0.304182 -0.668751 1.42363 4.71214 1.56374 29.7916 0.635868 18.2711 0.826585 29.7916 0.635868 -8.17758e-10
0.56001 0.000247015 5.07157e-05 -0.311519 0.30312 0.606566 -0.385826 -0.948666 -0.362463 -0.714659 1.40592 4.70337 1.59121 29.7914 0.647427 18.2705 0.841604 29.7914 0.647427 -6.88985e-10
0.57001 0.000255446 5.25712e-05 -0.375682 0.243753 0.642961 -0.321026 -0.924459 -0.41938 -0.759848 1.3868 4.69446 1.61863 29.7911 0.658987 18.2698 0.856622 29.7911 0.658987 -5.77891e-10
0.58001 0.000264026 5.44657e-05 -0.423391 0.173661 0.672519 -0.252811 -0.896765 -0.474715 -0.804278 1.36629 4.68539 1.646 29.7909 0.670546 18.2691 0.871639 29.7909 0.670546 -4.79268e-10
0.59001 0.000272756 5.64005e-05 -0.453708 0.09641 0.694921 -0.181904 -0.865685 -0.528258 -0.847911 1.34443 4.67618 1.67331 29.7906 0.682105 18.2685 0.886656 29.7906 0.682105 -3.88188e-10
0.60001 0.000281635 5.83772e-05 -0.46612 0.0153431 0.709924 -0.109059 -0.831331 -0.579804 -0.89071 1.32125 4.66681 1.70058 29.7904 0.693664 18.2677 0.901672 29.7904 0.693664 -3.00371e-10
0.61001 0.000290665 6.03974e-05 -0.460435 -0.0663193 0.717365 -0.0350515 -0.793827 -0.629152 -0.93264 1.29678 4.65729 1.72778 29.7901 0.705222 18.267 0.916688 29.7901 0.705222 -2.12251e-10
0.62001 0.000299845 6.24626e-05 -0.436741 -0.145376 0.717162 0.0393307 -0.75331 -0.676114 -0.973667 1.27105 4.64763 1.75493 29.7898 0.716781 18.2663 0.931703 29.7898 0.716781 -1.20956e-10
0.63001 0.000309177 6.45745e-05 -0.395421 -0.218542 0.709319 0.113294 -0.709927 -0.720504 -1.01376 1.2441 4.63781 1.78203 29.7895 0.728339 18.2656 0.946717 29.7895 0.728339 -2.4549e-11
0.64001 0.000318659 6.67349e-05 -0.337237 -0.282345 0.69392 0.186052 -0.663837 -0.762148 -1.05288 1.21597 4.62784 1.80907 29.7893 0.739898 18.2648 0.961731 29.7893 0.739898 7.74479e-11
0.65001 0.000328292 6.89452e-05 -0.263486 -0.333042 0.671134 0.256828 -0.615211 -0.80088 -1.091 1.18668 4.61773 1.83605 29.789 0.751456 18.2641 0.976745 29.789 0.751456 1.82745e-10
0.66001 0.000338075 7.12069e-05 -0.176258 -0.366576 0.641208 0.324872 -0.564228 -0.836546 -1.1281 1.15627 4.60746 1.86297 29.7887 0.763014 18.2633 0.991757 29.7887 0.763014 2.83729e-10
0.67001 0.00034801 7.35215e-05 -0.0788277 -0.378632 0.604467 0.389461 -0.511078 -0.869001 -1.16413 1.12478 4.59705 1.88983 29.7884 0.774572 18.2625 1.00677 29.7884 0.774572 3.62777e-10
0.68001 0.000358095 7.58904e-05 0.0238037 -0.364927 0.561308 0.449915 -0.455959 -0.89811 -1.19909 1.09225 4.58649 1.91662 29.7881 0.78613 18.2617 1.02178 29.7881 0.78613 3.85487e-10
0.69001 0.000368331 7.83149e-05 0.124312 -0.321947 0.512198 0.505595 -0.399079 -0.923752 -1.23293 1.0587 4.57579 1.94336 29.7878 0.797688 18.2609 1.03679 29.7878 0.797688 2.95266e-10
0.70001 0.000378719 8.07968e-05 0.212728 -0.248384 0.457664 0.555921 -0.340653 -0.945819 -1.26565 1.02418 4.56493 1.97004 29.7875 0.809246 18.2601 1.0518 29.7875 0.809246 2.35424e-11
